,Mean_MpH,Latitude,Longitude
179,14.760031992025253,40.710190000000004,-74.00111
180,14.47886090702568,40.710190000000004,-74.00425
181,14.498545019753086,40.71021,-73.99651
182,13.561194816396515,40.71022,-74.00774
183,17.952916346447086,40.71033,-74.00954
184,14.504852234298099,40.710370000000005,-74.01119
185,14.60693694180321,40.7104,-74.0056
186,14.46690559520824,40.710409999999996,-74.00947
187,14.85644087865425,40.71045,-74.00394
188,14.451497189601392,40.71049,-73.98659
189,14.47391986276135,40.7105,-73.98464
190,15.167132139205833,40.71056,-73.99414
191,14.54441478364531,40.71058,-74.00738
192,14.679107796989356,40.710640000000005,-74.00312
193,14.865423987027544,40.71066,-73.98526
194,14.7325423970336,40.71072,-73.98470999999999
195,14.547041636912686,40.71074,-73.98164
196,14.924583650007873,40.710770000000004,-73.98384
197,14.722410744841008,40.710809999999995,-74.00339
198,14.492838506913273,40.71082,-73.98325
199,14.564053837808679,40.710879999999996,-73.98235
200,14.678650418857213,40.71089,-74.00905999999999
201,15.84350872270849,40.71091,-73.99221999999999
202,13.818207333007745,40.71093,-73.98055
203,14.477362666803245,40.71094,-73.99198
204,14.02624661434588,40.71095,-74.00362
205,14.673317638792254,40.711009999999995,-74.01076
206,15.663938443448771,40.71103,-74.01443
207,14.596564565416287,40.71113,-74.01465
208,15.060102568856614,40.711209999999994,-73.98994
209,18.414066469512218,40.71123,-73.9898
210,14.499616976345852,40.71123,-74.00648000000001
211,9.050445620762122,40.71125,-73.98964000000001
212,14.897658271771522,40.711259999999996,-73.98479
213,14.78963481491899,40.71131,-73.98391
214,14.640926336187716,40.71133,-73.98362
215,16.143617011426024,40.71135,-73.9833
216,14.285120575233174,40.71138,-73.99679
217,14.388714381308315,40.71139,-74.00863000000001
218,13.410681165134182,40.71148,-74.00787
219,14.493539486224677,40.711529999999996,-73.98062
220,14.390771097602578,40.711529999999996,-74.01046
221,13.343511452319834,40.71154,-73.98674
222,14.812662113250544,40.71157,-74.01581
223,14.415087697589755,40.7116,-73.99426
224,14.583488710985524,40.711690000000004,-74.00585
225,14.304280080738707,40.7117,-74.00697
226,14.607179095551423,40.71172,-73.98486
227,14.324343312715536,40.71172,-73.99216
228,13.698655392096757,40.71174,-74.00786
229,14.659530900425441,40.71176,-73.99246
230,14.508608327131142,40.71178,-73.99971
231,16.675914199551134,40.71179,-74.00705
232,14.436012614453217,40.71188,-73.99868000000001
233,18.81093454203158,40.71192,-74.00604
234,14.532946779608773,40.71197,-73.98991
235,14.713303702912235,40.71197,-73.99778
236,3.4853546110539266,40.71198,-73.98976
237,14.686166200894743,40.71199,-74.00811999999999
238,14.772983284895766,40.71203,-74.00609
239,14.82473460502927,40.71208,-74.01196999999999
240,14.562665744694337,40.71209,-73.99693
241,14.952443454745833,40.71209,-74.01013
242,14.670689049451038,40.71213,-74.00569
243,14.803006919080973,40.71221,-73.98071
244,14.559797590642342,40.71232,-73.99435
245,14.7714902090652,40.71237,-73.99375
246,12.941193507480296,40.71245,-73.97778000000001
247,16.04614030095789,40.71247,-73.99226999999999
248,14.52054890490724,40.71247,-73.99256
249,14.73208640301157,40.71248,-74.00484
250,14.682868056765715,40.712540000000004,-74.00766
251,14.528137614584182,40.71255,-73.99893
252,15.839104865546313,40.71265,-73.99002
253,18.3275757886852,40.71267,-73.98987
254,14.511776614940514,40.71273,-73.99799
255,14.646363650205307,40.71273,-74.00967
256,14.531019683835575,40.71278,-73.98849
257,14.379894601664454,40.7128,-73.99712
258,14.510882317447466,40.712920000000004,-73.98692
259,14.34989482200552,40.712920000000004,-74.01398
260,12.034375460784489,40.71301,-74.00086
